seed,model,accuracy,roc_auc,average_precision,brier,log_loss,ece_10
13,dummy_prior,0.8830034280659074,0.5,0.11699657193409267,0.10330837430613315,0.3608978488281593,1.4709514274041657e-05
13,logistic_uncalibrated,0.899922592060157,0.9026306413371954,0.5301773489736671,0.07300539602357047,0.24933291616722947,0.03146653427751338
13,logistic_sigmoid,0.899922592060157,0.9027001241694907,0.5301876084495709,0.07297672211210997,0.24909290533036454,0.03230764959821981
13,logistic_isotonic,0.9019130819418335,0.9024014190122548,0.5303043086029592,0.07028757230719163,0.22939821034413516,0.007247398739053546
29,dummy_prior,0.8830034280659074,0.5,0.11699657193409267,0.10330837430613315,0.36089784882815934,1.4709514274041657e-05
29,logistic_uncalibrated,0.9048988167643481,0.9093394632895091,0.5630334366989938,0.06958706501071026,0.23985403341811654,0.03255141877257093
29,logistic_sigmoid,0.9047882339931439,0.9093749741066958,0.5635160147839197,0.06958506286261049,0.23954994867440593,0.03272015850770857
29,logistic_isotonic,0.9072210549596373,0.9094251627283196,0.5643566804499759,0.06724574374898291,0.2214397409823095,0.008757084274210299
42,dummy_prior,0.8830034280659074,0.5,0.11699657193409267,0.10330837430613315,0.36089784882815934,1.4709514274041657e-05
42,logistic_uncalibrated,0.901249585314608,0.9055740146044154,0.5451315654132785,0.07140463900142961,0.24095621487175628,0.03194061767596262
42,logistic_sigmoid,0.9011390025434037,0.9056134316114927,0.5450665273742721,0.07141411290903202,0.24089576867342294,0.03241281646412402
42,logistic_isotonic,0.9055623133915736,0.9057706853469347,0.5468766513145137,0.06851223728031743,0.22545417845813998,0.005916131728858215
73,dummy_prior,0.8830034280659074,0.5,0.11699657193409267,0.10330837430613317,0.36089784882815934,1.4709514274041657e-05
73,logistic_uncalibrated,0.8997014265177485,0.908042489876458,0.5203607666792593,0.07339082680347753,0.24694226011381515,0.03085032182680397
73,logistic_sigmoid,0.8997014265177485,0.9081105522760657,0.5204180668411201,0.07336904579825634,0.24674588994626906,0.03208771910786713
73,logistic_isotonic,0.8983744332632976,0.908080545635543,0.5208694896761678,0.07036034139332989,0.2260009372467288,0.008718956248051956
101,dummy_prior,0.8830034280659074,0.5,0.11699657193409267,0.10330837430613315,0.36089784882815934,1.4709514274041657e-05
101,logistic_uncalibrated,0.9001437576025655,0.9030177092445311,0.5289028330796344,0.07254994085408176,0.24560087593419724,0.02872776477692508
101,logistic_sigmoid,0.8998120092889528,0.9030966616280763,0.5290317347680352,0.07252844947377089,0.24533573419549565,0.029464882704454323
101,logistic_isotonic,0.9004755059161783,0.9031403991179112,0.52998801955758,0.0699553431031162,0.2322820474963355,0.00622767142009414
